code,name,altname,label,x,y
E06000028,Bournemouth,,E06000028,410111.998148186,93592.2263324923
E08000026,Coventry,,E08000026,432759.066749455,279983.000532302
E06000004,Stockton-on-Tees,,E06000004,443488.536160293,518819.794331117
E09000019,Islington,,E09000019,531128.976974337,184977.790405296
E07000150,Corby,,E07000150,488624.514241011,289817.673156637
E07000177,Cherwell,,E07000177,449873.840323315,229169.948552614
E09000002,Barking and Dagenham,,E09000002,548021.101434301,184939.695251303
E07000117,Burnley,,E07000117,385471.296620134,431424.284661699
E07000108,Dover,,E07000108,629824.089366887,151046.506117945
E07000215,Tandridge,,E07000215,536717.130117412,149356.3860607
E06000018,Nottingham,,E06000018,455412.609118912,340674.339073241
E09000006,Bromley,,E09000006,542895.892162767,165656.545028728
E07000152,East Northamptonshire,,E07000152,500424.365177671,285424.545154645
E07000039,South Derbyshire,,E07000039,429772.31964759,326031.844113774
E07000146,King's Lynn and West Norfolk,,E07000146,567015.300460763,317062.805712754
E07000078,Cheltenham,,E07000078,395003.297625795,222053.246071047
E07000239,Wyre Forest,,E07000239,381400.320738956,275762.296581394
E06000052,Cornwall,,E06000052,199185.221891277,60010.518659262
E06000051,Shropshire,,E06000051,350418.637362646,304381.087679635
E09000027,Richmond upon Thames,,E09000027,517386.986025356,172878.328924249
E09000004,Bexley,,E09000004,548927.511327758,175720.922565549
E08000033,Calderdale,,E08000033,401851.22341906,424975.606118086
E07000126,South Ribble,,E07000126,353236.591242376,425982.561505533
E07000097,East Hertfordshire,,E07000097,537238.944183079,220372.133980189
E06000013,North Lincolnshire,,E06000013,493236.697762417,411738.952634302
E06000017,Rutland,,E06000017,491087.852211777,307849.39019571
E07000138,Lincoln,,E07000138,496571.853817438,370715.902013191
E09000003,Barnet,,E09000003,524027.452532488,192316.258423534
E08000015,Wirral,,E08000015,327403.140779401,386334.146768875
E07000154,Northampton,,E07000154,476100.374775042,260923.438212355
E07000143,Breckland,,E07000143,592300.744837906,302683.459275561
E08000019,Sheffield,,E08000019,429990.264966803,389826.638391965
E07000226,Crawley,,E07000226,527317.231224288,137814.332130743
E06000020,Telford and Wrekin,,E06000020,367088.903554907,314840.45948773
E07000047,West Devon,,E07000047,255457.015255765,86043.9609844775
E07000224,Arun,,E07000224,500938.460189208,105505.935066888
E07000044,South Hams,,E07000044,270468.138368385,54268.5988687445
E07000061,Eastbourne,,E07000061,559873.199130015,99838.4190025317
E07000221,Stratford-on-Avon,,E07000221,425886.640640178,253459.353621025
E08000004,Oldham,,E08000004,396741.603543138,406140.953650895
E07000174,Mansfield,,E07000174,455394.60144472,364053.182917716
E07000071,Colchester,,E07000071,597041.416834931,223197.925410359
E06000010,"Kingston upon Hull, City of",,E06000010,509840.04857581,430568.52602313
E07000216,Waverley,,E07000216,495733.273947995,139840.60261267
E07000099,North Hertfordshire,,E07000099,524280.55356475,230498.805082788
E07000132,Hinckley and Bosworth,,E07000132,441325.891636306,302252.966661377
E06000003,Redcar and Cleveland,,E06000003,463381.158720538,518035.493602588
E07000111,Sevenoaks,,E07000111,551595.312561888,155158.143010755
E07000109,Gravesham,,E07000109,566678.869578576,170065.797210444
E07000094,Winchester,,E07000094,454721.436750849,125710.281051321
E08000025,Birmingham,,E08000025,408598.115286608,287856.75930865
E07000210,Mole Valley,,E07000210,517085.231045229,147228.269525019
E07000035,Derbyshire Dales,,E07000035,420594.76108549,359041.34270954
E07000122,Pendle,,E07000122,387936.47437893,441047.466533599
E06000016,Leicester,,E06000016,459074.587874826,304818.653257458
E07000068,Brentwood,,E07000068,560000.667395088,195843.017635767
E07000193,East Staffordshire,,E07000193,412744.805365223,329548.392295276
E07000155,South Northamptonshire,,E07000155,465624.663027943,247580.558948016
E06000048,Northumberland,,E06000048,395883.534066106,594140.482424471
E06000049,Cheshire East,,E06000049,376709.600993487,364853.950879653
E07000095,Broxbourne,,E07000095,534962.819255641,204735.966948269
E07000046,Torridge,,E07000046,241779.962123085,112186.530560886
E06000011,East Riding of Yorkshire,,E06000011,499910.269760794,442343.347608046
E07000151,Daventry,,E07000151,464975.541388033,269079.573228643
E07000027,Barrow-in-Furness,,E07000027,320871.159403406,470759.443125878
E06000014,York,,E06000014,461681.008697263,451811.24738612
E07000075,Rochford,,E07000075,594710.68679817,191802.994038116
E07000051,Purbeck,,E07000051,390827.952065128,86896.0245048746
E08000036,Wakefield,,E08000036,438967.326048431,418403.09141321
E07000144,Broadland,,E07000144,623778.306471583,316644.702329235
E06000044,Portsmouth,,E06000044,465013.258743739,102727.792065234
E08000034,Kirklees,,E08000034,415750.341754746,414562.297961696
E07000195,Newcastle-under-Lyme,,E07000195,378693.42958446,344024.775737747
E07000064,Rother,,E07000064,578460.188645444,119974.977930846
E06000041,Wokingham,,E06000041,477692.894997975,170636.23261856
E06000046,Isle of Wight,,E06000046,449825.559169625,86493.3613751684
E07000102,Three Rivers,,E07000102,506573.983621816,196920.063688927
E06000021,Stoke-on-Trent,,E06000021,389059.959520478,346759.321859417
E07000030,Eden,,E07000030,359937.554173951,524358.243844949
E07000062,Hastings,,E07000062,580957.234368358,110906.978173507
E07000238,Wychavon,,E07000238,396620.987284519,251769.882082797
E07000084,Basingstoke and Deane,,E07000084,455836.847703688,153004.318968822
E07000031,South Lakeland,,E07000031,344766.172860399,488902.844816671
E07000225,Chichester,,E07000225,488457.034760653,116040.975041514
E09000024,Merton,,E09000024,525475.119954999,169421.454851374
E06000038,Reading,,E06000038,470705.910654719,173155.743821061
E07000187,Mendip,,E07000187,362044.210518961,144996.683476659
E09000023,Lewisham,,E09000023,537666.019986322,174002.350848371
E07000103,Watford,,E07000103,510514.290339517,197798.8683259
E07000088,Gosport,,E07000088,459330.796528457,100970.037240253
E07000234,Bromsgrove,,E07000234,399006.396738923,273744.019331769
E08000023,South Tyneside,,E08000023,435686.061570986,563356.084405551
E07000149,South Norfolk,,E07000149,622383.461180976,295787.159532316
E07000190,Taunton Deane,,E07000190,318912.208827359,124098.248547699
E07000229,Worthing,,E07000229,513062.902547197,104425.752006328
E07000070,Chelmsford,,E07000070,571445.608771125,205880.075611732
E07000052,West Dorset,,E07000052,359321.724473368,98484.0747829504
E08000028,Sandwell,,E08000028,399486.466042982,290839.024031961
E09000009,Ealing,,E09000009,515887.402809765,181715.005075806
E06000042,Milton Keynes,,E06000042,486878.370980362,243584.219486866
E07000203,Mid Suffolk,,E07000203,611204.122042013,265465.551430955
